,Unnamed: 0,date,currency,code,bid,ask
7739,7739.0,2018-03-08,b'forint (W\xc4\x99gry)',HUF,0.013345,0.013615
7740,7740.0,2018-03-08,b'frank szwajcarski',CHF,3.5567,3.6285
7741,7741.0,2018-03-08,b'funt szterling',GBP,4.6725,4.7669
7742,7742.0,2018-03-08,b'jen (Japonia)',JPY,0.031757,0.032399000000000004
7743,7743.0,2018-03-08,b'korona czeska',CZK,0.1637,0.1671
7744,7744.0,2018-03-08,b'korona du\xc5\x84ska',DKK,0.5588,0.57
7745,7745.0,2018-03-08,b'korona norweska',NOK,0.4295,0.4381
7746,7746.0,2018-03-08,b'korona szwedzka',SEK,0.4081,0.4163
7747,7747.0,2018-03-08,b'SDR (MFW)',XDR,4.878,4.9766
7748,7748.0,2018-03-09,b'dolar ameryka\xc5\x84ski',USD,3.375,3.4432
7749,7749.0,2018-03-09,b'dolar australijski',AUD,2.6438,2.6972
7750,7750.0,2018-03-09,b'dolar kanadyjski',CAD,2.6257,2.6787
7751,7751.0,2018-03-09,b'euro',EUR,4.1553,4.2393
7752,7752.0,2018-03-09,b'forint (W\xc4\x99gry)',HUF,0.013335,0.013605
7753,7753.0,2018-03-09,b'frank szwajcarski',CHF,3.5502,3.622
7754,7754.0,2018-03-09,b'funt szterling',GBP,4.6783,4.7729
7755,7755.0,2018-03-09,b'jen (Japonia)',JPY,0.031574,0.032212
7756,7756.0,2018-03-09,b'korona czeska',CZK,0.1633,0.1665
7757,7757.0,2018-03-09,b'korona du\xc5\x84ska',DKK,0.5578,0.569
7758,7758.0,2018-03-09,b'korona norweska',NOK,0.4329,0.4417
7759,7759.0,2018-03-09,b'korona szwedzka',SEK,0.4096,0.4178
7760,7760.0,2018-03-09,b'SDR (MFW)',XDR,4.8608,4.959
7761,7761.0,2018-03-12,b'dolar ameryka\xc5\x84ski',USD,3.3768,3.445
7762,7762.0,2018-03-12,b'dolar australijski',AUD,2.6583,2.7121
7763,7763.0,2018-03-12,b'dolar kanadyjski',CAD,2.634,2.6872
7764,7764.0,2018-03-12,b'euro',EUR,4.1608,4.2448
7765,7765.0,2018-03-12,b'forint (W\xc4\x99gry)',HUF,0.013343,0.013613
7766,7766.0,2018-03-12,b'frank szwajcarski',CHF,3.5624,3.6344
7767,7767.0,2018-03-12,b'funt szterling',GBP,4.6924,4.7872
7768,7768.0,2018-03-12,b'jen (Japonia)',JPY,0.03173,0.032372000000000005
7769,7769.0,2018-03-12,b'korona czeska',CZK,0.1634,0.1668
7770,7770.0,2018-03-12,b'korona du\xc5\x84ska',DKK,0.5586,0.5698
7771,7771.0,2018-03-12,b'korona norweska',NOK,0.4355,0.4443
7772,7772.0,2018-03-12,b'korona szwedzka',SEK,0.4094,0.4176
7773,7773.0,2018-03-12,b'SDR (MFW)',XDR,4.9051,5.0041
7774,7774.0,2018-03-13,b'dolar ameryka\xc5\x84ski',USD,3.3696,3.4376
7775,7775.0,2018-03-13,b'dolar australijski',AUD,2.6547,2.7083
7776,7776.0,2018-03-13,b'dolar kanadyjski',CAD,2.6091,2.6619
7777,7777.0,2018-03-13,b'euro',EUR,4.1699,4.2541
7778,7778.0,2018-03-13,b'forint (W\xc4\x99gry)',HUF,0.013382,0.013652000000000001
7779,7779.0,2018-03-13,b'frank szwajcarski',CHF,3.5675,3.6395
7780,7780.0,2018-03-13,b'funt szterling',GBP,4.7067,4.8017
7781,7781.0,2018-03-13,b'jen (Japonia)',JPY,0.031528,0.032164
7782,7782.0,2018-03-13,b'korona czeska',CZK,0.1636,0.16699999999999998
7783,7783.0,2018-03-13,b'korona du\xc5\x84ska',DKK,0.5598,0.5712
7784,7784.0,2018-03-13,b'korona norweska',NOK,0.4356,0.4444
7785,7785.0,2018-03-13,b'korona szwedzka',SEK,0.41100000000000003,0.4194
7786,7786.0,2018-03-13,b'SDR (MFW)',XDR,4.9127,5.0119
7787,7787.0,2018-03-14,b'dolar ameryka\xc5\x84ski',USD,3.363,3.431
7788,7788.0,2018-03-14,b'dolar australijski',AUD,2.6516,2.7052
7789,7789.0,2018-03-14,b'dolar kanadyjski',CAD,2.5973,2.6497
7790,7790.0,2018-03-14,b'euro',EUR,4.1579,4.2419
7791,7791.0,2018-03-14,b'forint (W\xc4\x99gry)',HUF,0.013341999999999998,0.013612
7792,7792.0,2018-03-14,b'frank szwajcarski',CHF,3.5515,3.6233
7793,7793.0,2018-03-14,b'funt szterling',GBP,4.6956,4.7904
7794,7794.0,2018-03-14,b'jen (Japonia)',JPY,0.031615,0.032253
7795,7795.0,2018-03-14,b'korona czeska',CZK,0.1633,0.1667
7796,7796.0,2018-03-14,b'korona du\xc5\x84ska',DKK,0.5582,0.5694
7797,7797.0,2018-03-14,b'korona norweska',NOK,0.4341,0.4429
7798,7798.0,2018-03-14,b'korona szwedzka',SEK,0.4108,0.419
